id,name,brand,base_name,screen_size,pixels_x,pixels_y,screen_surface,touchscreen,cpu,cpu_details,detachable_keyboard,discrete_gpu,gpu,os,os_details,ram,ssd,storage,weight,min_price,max_price
7774,"Lenovo Flex 3 15.6-Inch Touchscreen Laptop (Core i7, 8 GB RAM, 1 TB HDD, Windows 10) 80R40006US",Lenovo,Lenovo Flex 3 80JM002CUS,15.6,1920,1080,Glossy,1,Intel Core i7,Intel Core i7-5500U 2.40 GHz (5th gen Broadwell Dual-Core with Hyper-Threading),0,0,Intel HD,Windows,Windows 10,8,0,1000,4.6,899.00,899.00
25926,"Razer Blade 15 Gaming Laptop: Intel Core i7-8750H 6 Core, NVIDIA GeForce RTX 2070 Max-Q | 15.6"" FHD 144Hz | 16GB RAM | 512GB SSD, CNC Aluminum, Chroma RGB Lighting, Thunderbolt 3",Razer,Razer Blade 15,15.6,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0,1,NVIDIA GeForce RTX 2070 Max-Q,Windows,Windows 10 Home,16,512,512,4.63,2099.99,2099.99
25267,"Hp 15.6 Inch HD Thin and Light Laptop ( 7th Gen AMD A6-9220 2.5Ghz APU, 8GB DDR4 Memory, 500GB HDD, Wireless AC, HDMI, Bluetooth, WIndows 10)",HP,HP,15.6,1366,768,,0,AMD A6,AMD A6-9220 2.5 GHz (7th gen Stoney Ridge Dual-Core),0,0,AMD Radeon R4,Windows,Windows 10,8,0,500,4.63,439.00,449.00
22367,"Acer Aspire E 15, 15.6"" Full HD, 8th Gen Intel Core i3-8130U, 6GB RAM Memory, 1TB HDD, 8X DVD, E5-576-392H",Acer,Acer Aspire E5-576,15.6,1920,1080,Matte,0,Intel Core i3,Intel Core i3-8130U 2.2 GHz (8th gen Kaby Lake R Dual-Core with Hyper-Threading),0,0,Intel UHD 620,Windows,Windows 10 Home,6,0,1000,5.3,375.00,449.00
17471,"HP 17.3 inch (1600 x 900) HD+ Laptop PC, Intel Core i5-7200U 2.5 GHz Dual-Core, 8 GB DDR4, 1 TB HDD, DVD, HDMI, 802.11b/g/n, USB 3.1, Stereo speakers, Windows 10, Black",HP,HP 17,17.3,1600,900,Glossy,0,Intel Core i5,Intel Core i5-7200U 2.5 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0,0,Intel HD 620,Windows,Windows 10,8,0,1000,5.8,559.00,559.00
21209,"2018 Newest HP 11.6â€ HD Chromebook with 3X Faster WiFi - Intel Dual-Core Celeron N3060 up to 2.48 GHz, 4GB Memory, 16GB eMMC, HDMI, Bluetooth, USB 3.1, 12-Hours Battery Life",HP,HP Chromebook,11.6,1366,768,Glossy,1,Intel Celeron,Intel Celeron N3060 1.6 GHz (Braswell Dual-Core),0,0,Intel HD 400,Chrome OS,Chrome OS,4,16,16,2.6,172.00,172.00
20956,"HP Touchscreen 15.6 inch HD Notebook , Intel Core i5-8250U Processor up to 3.40 GHz, 8GB DDR4, 2TB Hard Drive, Optical Drive, Webcam, Backlit Keyboard, Bluetooth, Windows 10 Home",HP,HP,15.6,1366,768,Glossy,1,Intel Core i5,Intel Core i5-8250U 1.6 GHz (8th gen Kaby Lake R Quad-Core with Hyper-Threading),0,0,Intel UHD 620,Windows,Windows 10 Home,8,0,2000,4.52,619.99,628.50
22373,"ASUS ROG Strix Scar Edition Gaming Laptop, 17.3â€ 144Hz 3ms Full HD, Intel Core i7-8750H, GeForce GTX 1070 8GB, 16GB DDR4, 256GB PCIe SSD + 1TB FireCuda, Windows 10 - GL703GS-DS74",Asus,Asus ROG Strix GL703GS SCAR Edition,17.3,1920,1080,Matte,0,Intel Core i7,Intel Core i7-8750H 2.2 GHz (8th gen Coffee Lake Hexa-Core with Hyper-Threading),0,1,NVIDIA GeForce GTX 1070,Windows,Windows 10 Home,16,256,1256,6.5,1646.99,1646.99
23120,"Dell ChromeBook 11 -Intel Celeron 2955U, 4GB Ram, 16GB SSD, WebCam, HDMI, (11.6 HD Screen 1366x768) (Renewed)",Dell,Dell Chromebook 11,11.6,1366,768,Glossy,0,Intel Celeron,Intel Celeron 2955U 1.4 GHz (4th gen Haswell Dual-Core),0,0,Intel HD,Chrome OS,Chrome OS,4,16,16,2.9,69.00,78.90
24438,"Dell I3567-3380BLK-PUS Inspiron 15 3000 Laptop, 15.6"" Screen, Intel Core i3, 8GB RAM, 1TB HD, Windows 10 Home",Dell,Dell Inspiron 3567,15.6,1366,768,Glossy,0,Intel Core i3,Intel Core i3-7100U 2.4 GHz (7th gen Kaby Lake Dual-Core with Hyper-Threading),0,0,Intel HD 620,Windows,Windows 10 Home,8,0,1000,5.07,379.00,389.00
