brand_Acer,brand_Alienware,brand_Apple,brand_Asus,brand_Dell,brand_Google,brand_HP,brand_Huawei,brand_LG,brand_Lenovo,brand_MSI,brand_Microsoft,brand_Other,brand_Razer,brand_Samsung,cpu_AMD A12,cpu_AMD A4,cpu_AMD A6,cpu_AMD A9,cpu_AMD Ryzen 5,cpu_AMD Ryzen 7,cpu_Intel Atom,cpu_Intel Celeron,cpu_Intel Core M,cpu_Intel Core i3,cpu_Intel Core i5,cpu_Intel Core i7,cpu_Intel Core i9,cpu_Intel Core m3,cpu_Intel Pentium,cpu_MediaTek,cpu_Samsung Exynos,gpu_AMD Radeon HD R7 M265,gpu_AMD Radeon Pro 5300M,gpu_AMD Radeon Pro 560X,gpu_AMD Radeon R4,gpu_AMD Radeon R5,gpu_AMD Radeon R7,gpu_AMD Radeon R7 M445,gpu_AMD Radeon RX 540,gpu_AMD Radeon RX Vega 10,gpu_AMD Radeon Vega 10,gpu_AMD Radeon Vega 8,gpu_Imagination PowerVR GX6250,gpu_Intel HD,gpu_Intel HD 3000,gpu_Intel HD 400,gpu_Intel HD 4000,gpu_Intel HD 4400,gpu_Intel HD 500,gpu_Intel HD 5000,gpu_Intel HD 515,gpu_Intel HD 520,gpu_Intel HD 5300,gpu_Intel HD 5500,gpu_Intel HD 610,gpu_Intel HD 615,gpu_Intel HD 620,gpu_Intel HD 630,gpu_Intel HD Graphics 5500,gpu_Intel Iris,gpu_Intel Iris 540,gpu_Intel Iris 6100,gpu_Intel Iris Plus 655,gpu_Intel UHD 600,gpu_Intel UHD 605,gpu_Intel UHD 615,gpu_Intel UHD 617,gpu_Intel UHD 620,gpu_IntelÂ Iris Plus 640,gpu_Mali-T604,gpu_NVIDIA GeForce 940M,gpu_NVIDIA GeForce 940MX,gpu_NVIDIA GeForce GTX 1050,gpu_NVIDIA GeForce GTX 1050 Ti,gpu_NVIDIA GeForce GTX 1060,gpu_NVIDIA GeForce GTX 1070,gpu_NVIDIA GeForce GTX 1080,gpu_NVIDIA GeForce GTX 1650,gpu_NVIDIA GeForce GTX 1660 Ti,gpu_NVIDIA GeForce GTX 960M,gpu_NVIDIA GeForce GTX 965M,gpu_NVIDIA GeForce GTX 970M,gpu_NVIDIA GeForce MX150,gpu_NVIDIA GeForce RTX 2060,gpu_NVIDIA GeForce RTX 2070,gpu_NVIDIA GeForce RTX 2070 Max-Q,gpu_NVIDIA GeForce RTX 2080,gpu_NVIDIA GeForce RTX 2080 Max-Q,gpu_NVIDIA Quadro K2100M,gpu_PowerVR GX6250,os_details_Chrome OS,os_details_OS X Lion,os_details_OS X Mountain Lion,os_details_OS X Yosemite,os_details_Windows 10,os_details_Windows 10 Home,os_details_Windows 10 Home Signature Edition,os_details_Windows 10 Pro,os_details_Windows 10 S,os_details_Windows 7,os_details_Windows 8.1,os_details_macOS Catalina,os_details_macOS High Sierra,os_details_macOS Mojave,screen_size,pixels_x,pixels_y,screen_surface,touchscreen,detachable_keyboard,ram,ssd,storage,weight
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13.3,1920.0,1080.0,1,1,0,16,512,512,2.42
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.6,1366.0,768.0,0,0,0,8,0,1000,4.95
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.6,1920.0,1080.0,0,0,0,8,256,1256,4.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15.6,1366.0,768.0,1,1,0,8,128,2128,4.52
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.3,1920.0,1080.0,0,0,0,32,512,512,4.96
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17.3,1920.0,1080.0,0,0,0,32,512,1512,8.54
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.0,1800.0,1200.0,1,1,1,8,128,128,1.15
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,1366.0,768.0,1,1,0,4,16,16,2.76
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15.6,1366.0,768.0,0,0,0,16,256,256,4.7
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,1920.0,1080.0,0,0,0,4,64,64,3.24
